日期,任务编号,动作名称,拍摄序号,是否合格,文件路径,备注
2026-07-15,A001,站立挥手,001,合格,raw/v1.mp4,第一遍
2026-07-15,A001,站立挥手,001,合格,raw/v1_2.mp4,重复素材
2026-07-15,A001,站立挥手,002,合格,raw/v2.mp4,
2026-07-15,A001,坐下捡物,001,不合格,raw/bad_01.mp4,遮挡严重
2026-07-15,A001,坐下捡物,002,合格,raw/good_01.mp4,
2026-07-16,A002,端盘走动,001,合格,raw/walk_01.mp4,
2026-07-16,A002,端盘走动,001,合格,raw/walk_01b.mp4,重复素材
2026-07-16,A002,端盘走动,002,合格,raw/walk_02.mp4,
2026-07-16,B003,递送物品,001,合格,raw/send_01.mp4,
2026-07-17,B003,递送物品,002,不合格,raw/send_bad.mp4,手部出画
2026-07-17,A001,站立挥手,003,合格,raw/v3.mp4,
坏记录,A001,空日期,999,,raw/err.mp4,缺少日期
